"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"813_MAR","Reference","Reference",6e-04,6e-04,0.0028,0.0012,0.9819,7e-04,5e-04,0.0058,0.002,0.0039
"776_MAR","Reference","Reference",6e-04,8e-04,0.0021,0.0012,0.9817,0.001,9e-04,0.0073,0.0019,0.0025
"805_MAR","Reference","Reference",6e-04,9e-04,0.002,0.0012,0.9817,0.001,0.001,0.0074,0.0018,0.0024
"786_MAR","Reference","Reference",6e-04,6e-04,0.0031,0.0012,0.9816,6e-04,5e-04,0.0056,0.0022,0.0039
"759_MAR","Reference","Reference",7e-04,5e-04,0.0031,0.0012,0.9815,6e-04,5e-04,0.0057,0.002,0.0041
"778_MAR","Reference","Reference",6e-04,9e-04,0.0021,0.0013,0.9815,0.001,0.001,0.0072,0.0019,0.0025
"832_MAR","Reference","Reference",6e-04,9e-04,0.0021,0.0012,0.9813,0.0011,0.001,0.0071,0.002,0.0027
"751_MAR","Reference","Reference",6e-04,9e-04,0.0021,0.0012,0.9812,0.0011,0.001,0.0075,0.0019,0.0025
"803_MAR","Reference","Reference",6e-04,9e-04,0.0021,0.0012,0.9812,0.001,9e-04,0.0075,0.0019,0.0026
"830_MAR","Reference","Reference",7e-04,8e-04,0.0021,0.0013,0.981,0.001,9e-04,0.0077,0.0019,0.0025
"840_MAR","Reference","Reference",7e-04,5e-04,0.0031,0.0013,0.9808,7e-04,5e-04,0.0061,0.002,0.0043
"815_MAR","Reference","Reference",6e-04,0.0011,0.0058,0.0021,0.9807,0.001,7e-04,0.0012,0.0025,0.0044
"761_MAR","Reference","Reference",6e-04,0.0011,0.0059,0.0022,0.9806,0.001,7e-04,0.0012,0.0024,0.0043
"788_MAR","Reference","Reference",6e-04,0.0011,0.0062,0.0021,0.9805,0.001,7e-04,0.0012,0.0023,0.0041
"842_MAR","Reference","Reference",6e-04,0.0011,0.0066,0.0023,0.9798,0.001,7e-04,0.0012,0.0025,0.0041
"801_MAR","Reference","Reference",7e-04,0.0035,0.0021,0.0011,0.9787,0.0012,0.001,0.003,0.0025,0.0062
"828_MAR","Reference","Reference",8e-04,0.0036,0.0022,0.001,0.9785,0.0012,0.001,0.003,0.0025,0.0063
"831_MAR","Reference","Reference",8e-04,9e-04,0.0076,0.0016,0.9784,8e-04,7e-04,0.0023,0.0024,0.0046
"855_MAR","Reference","Reference",7e-04,0.0034,0.0023,0.0011,0.9784,0.0013,0.001,0.0028,0.0024,0.0066
"774_MAR","Reference","Reference",8e-04,0.0032,0.0022,0.0011,0.978,0.0013,0.001,0.003,0.0027,0.0068
"804_MAR","Reference","Reference",9e-04,9e-04,0.0082,0.0017,0.9774,8e-04,7e-04,0.0023,0.0025,0.0046
"750_MAR","Reference","Reference",8e-04,0.001,0.0088,0.0016,0.9769,8e-04,7e-04,0.0022,0.0024,0.0048
"777_MAR","Reference","Reference",9e-04,9e-04,0.0084,0.0017,0.9769,8e-04,8e-04,0.0021,0.0026,0.0049
"772_MAR","Reference","Reference",7e-04,8e-04,0.0034,0.0017,0.9756,7e-04,6e-04,0.0085,0.0032,0.0048
"826_MAR","Reference","Reference",7e-04,8e-04,0.0033,0.0015,0.9751,7e-04,6e-04,0.0089,0.0037,0.0047
"799_MAR","Reference","Reference",7e-04,8e-04,0.0033,0.0016,0.9748,7e-04,6e-04,0.0089,0.0034,0.0051
"853_MAR","Reference","Reference",7e-04,8e-04,0.0034,0.0015,0.9748,7e-04,6e-04,0.0092,0.0036,0.0047
"758_MAR","Reference","Reference",8e-04,6e-04,0.0039,0.0011,0.9703,9e-04,7e-04,0.0029,0.0042,0.0146
"812_MAR","Reference","Reference",8e-04,6e-04,0.0036,0.0011,0.9694,9e-04,7e-04,0.0031,0.0042,0.0157
"785_MAR","Reference","Reference",8e-04,6e-04,0.0039,0.0011,0.9688,9e-04,7e-04,0.003,0.0042,0.016
"839_MAR","Reference","Reference",8e-04,6e-04,0.0038,0.0011,0.9688,9e-04,7e-04,0.0029,0.0045,0.0159
"767_MAR","Reference","Reference",6e-04,6e-04,0.0209,0.001,0.9676,6e-04,4e-04,0.0013,0.0015,0.0055
"794_MAR","Reference","Reference",6e-04,5e-04,0.0224,0.001,0.9664,6e-04,4e-04,0.0013,0.0014,0.0053
"848_MAR","Reference","Reference",6e-04,5e-04,0.0224,0.001,0.9664,6e-04,4e-04,0.0013,0.0014,0.0053
"821_MAR","Reference","Reference",6e-04,6e-04,0.022,0.001,0.9663,6e-04,4e-04,0.0013,0.0014,0.0057
"800_MAR","Reference","Reference",0.0012,0.0017,0.003,0.0012,0.9655,0.0014,0.0014,0.0187,0.0024,0.0036
"827_MAR","Reference","Reference",0.0012,0.0016,0.0029,0.0012,0.9648,0.0014,0.0014,0.0197,0.0021,0.0036
"773_MAR","Reference","Reference",0.0012,0.0016,0.003,0.0012,0.964,0.0014,0.0015,0.0199,0.0024,0.0039
"854_MAR","Reference","Reference",0.0012,0.0017,0.003,0.0012,0.9638,0.0015,0.0014,0.0202,0.0024,0.0037
"769_MAR","Reference","Reference",0.0047,0.0057,8e-04,0.0014,0.9538,0.0234,0.003,0.0045,0.0016,9e-04
"850_MAR","Reference","Reference",0.0047,0.0055,8e-04,0.0014,0.9526,0.0249,0.003,0.0046,0.0016,9e-04
